spread_favorite,team_favorite_id,schedule_week,team_home,team_away,score_away,score_home,home_win,home_favorite,mov,cover,home_qb,away_qb,qb_getting_points,did_they_cover
-9.0,KC,1,KC,HOU,20,34,True,True,14,KC,0.188,0.134,False,True
-1.0,SEA,1,ATL,SEA,38,25,False,False,13,SEA,0.126,0.142,False,True
-7.0,BAL,1,BAL,CLE,6,38,True,True,32,BAL,0.14,0.068,False,True
-6.5,BUF,1,BUF,NYJ,17,27,True,True,10,BUF,0.037000000000000005,0.038,True,False
-3.0,LVR,1,CAR,LV,34,30,False,False,4,LV,0.068,0.067,True,False
-2.5,DET,1,DET,CHI,27,23,False,True,4,CHI,0.07400000000000001,0.052000000000000005,False,False
-2.5,MIN,1,MIN,GB,43,34,False,True,9,GB,0.107,0.149,True,True
-7.0,NE,1,NE,MIA,11,21,True,True,10,NE,0.078,0.075,False,True
-3.5,NO,1,NO,TB,23,34,True,True,11,NO,0.16,0.14300000000000002,False,True
-6.5,SF,1,SF,ARI,24,20,False,True,4,ARI,0.139,0.055999999999999994,False,False
-5.5,PIT,1,NYG,PIT,26,16,False,False,10,PIT,0.039,0.13699999999999998,False,True
-5.5,CHI,2,CHI,NYG,13,17,True,True,4,NYG,0.052000000000000005,0.039,False,False
-3.5,DAL,2,DAL,ATL,39,40,True,True,1,ATL,0.11199999999999999,0.126,True,True
-6.0,GB,2,GB,DET,21,42,True,True,21,GB,0.149,0.07400000000000001,False,True
-7.0,BAL,2,HOU,BAL,33,16,False,False,17,BAL,0.134,0.14,False,True
-3.0,IND,2,IND,MIN,11,28,True,True,17,IND,0.139,0.107,False,True
-5.5,BUF,2,MIA,BUF,31,28,False,False,3,MIA,0.075,0.037000000000000005,True,True
-7.0,SF,2,NYJ,SF,31,13,False,False,18,SF,0.038,0.139,False,True
-6.5,PIT,2,PIT,DEN,21,26,True,True,5,DEN,0.13699999999999998,0.028999999999999998,False,False
-4.0,SEA,2,SEA,NE,30,35,True,True,5,SEA,0.142,0.078,False,True
-8.0,TB,2,TB,CAR,17,31,True,True,14,TB,0.14300000000000002,0.068,False,True
-5.5,NO,2,LV,NO,24,34,True,False,10,LV,0.067,0.16,False,False
-5.5,ARI,3,ARI,DET,26,23,False,True,3,DET,0.055999999999999994,0.07400000000000001,True,True
-3.0,ATL,3,ATL,CHI,30,26,False,True,4,CHI,0.126,0.06,False,False
-6.0,TB,3,DEN,TB,28,10,False,False,18,TB,0.028999999999999998,0.14300000000000002,False,True
-11.5,IND,3,IND,NYJ,7,36,True,True,29,IND,0.139,0.038,False,True
-2.5,TEN,3,MIN,TEN,31,30,False,False,1,MIN,0.107,0.07,True,True
-6.5,NE,3,NE,LV,20,36,True,True,16,NE,0.078,0.067,False,True
-3.0,NO,3,NO,GB,37,30,False,True,7,GB,0.16,0.149,False,False
-3.0,SF,3,NYG,SF,36,9,False,False,27,SF,0.039,0.113,False,True
-4.0,PIT,3,PIT,HOU,21,28,True,True,7,PIT,0.13699999999999998,0.134,False,True
-5.0,SEA,3,SEA,DAL,31,38,True,True,7,SEA,0.142,0.11199999999999999,False,True
-3.0,BAL,3,BAL,KC,34,20,False,True,14,KC,0.14,0.188,True,True
-3.0,ARI,4,CAR,ARI,21,31,True,False,10,CAR,0.068,0.055999999999999994,True,True
-3.0,IND,4,CHI,IND,19,11,False,False,8,IND,0.06,0.139,False,True
-3.5,DAL,4,DAL,CLE,49,38,False,True,11,CLE,0.11199999999999999,0.068,False,False
-3.0,NO,4,DET,NO,35,29,False,False,6,NO,0.07400000000000001,0.16,False,True
-3.5,HOU,4,HOU,MIN,31,23,False,True,8,MIN,0.134,0.107,False,False
