spread_favorite,team_favorite_id,schedule_week,team_home,team_away,score_away,score_home,home_win,home_favorite,mov,cover,home_qb,away_qb,qb_getting_points,did_they_cover
-9.5,KC,14,KC,LV,9,48,True,True,39,KC,0.185,0.077,False,True
-9.0,LAC,14,LAC,NYG,21,37,True,True,16,LAC,0.11,0.033,False,True
-3.5,TB,14,TB,BUF,27,33,True,True,6,TB,0.14300000000000002,0.099,False,True
-6.5,DAL,14,WAS,DAL,27,20,False,False,7,DAL,0.067,0.11199999999999999,False,True
-3.0,KC,15,LAC,KC,34,28,False,False,6,KC,0.11,0.185,False,True
-1.0,LVR,15,CLE,LV,16,14,False,False,2,LV,0.08199999999999999,0.077,True,False
-14.5,BUF,15,BUF,CAR,14,31,True,True,17,BUF,0.099,0.076,False,True
-3.0,DEN,15,DEN,CIN,15,10,False,True,5,CIN,0.08199999999999999,0.106,True,True
-13.0,ARI,15,DET,ARI,12,30,True,False,18,DET,0.081,0.086,False,False
-12.0,DAL,15,NYG,DAL,21,6,False,False,15,DAL,0.033,0.11199999999999999,False,True
-1.0,PIT,15,PIT,TEN,13,19,True,True,6,PIT,0.13,0.084,False,True
-9.0,SF,15,SF,ATL,13,31,True,True,18,SF,0.136,0.127,False,True
-11.5,TB,15,TB,NO,9,0,False,True,9,NO,0.14300000000000002,0.11199999999999999,False,False
-3.5,SF,16,TEN,SF,17,20,True,False,3,TEN,0.084,0.136,False,False
-3.0,ARI,16,ARI,IND,22,16,False,True,6,IND,0.086,0.077,False,False
-7.5,GB,16,GB,CLE,22,24,True,True,2,CLE,0.155,0.09,False,False
-11.0,TB,16,CAR,TB,32,6,False,False,26,TB,0.076,0.14300000000000002,False,True
-10.0,DAL,16,DAL,WAS,14,56,True,True,42,DAL,0.11199999999999999,0.067,False,True
-10.0,KC,16,KC,PIT,10,36,True,True,26,KC,0.185,0.13,False,True
-1.0,DEN,16,LV,DEN,13,17,True,False,4,LV,0.077,0.039,True,True
-7.0,SEA,16,SEA,CHI,25,24,False,True,1,CHI,0.14300000000000002,0.057,False,False
-3.5,KC,17,CIN,KC,31,34,True,False,3,CIN,0.106,0.185,False,False
-6.5,DAL,17,DAL,ARI,25,22,False,True,3,ARI,0.11199999999999999,0.086,False,False
-8.5,IND,17,IND,LV,23,20,False,True,3,LV,0.077,0.077,False,False
-7.5,LAC,17,LAC,DEN,13,34,True,True,21,LAC,0.11,0.039,False,True
-7.0,NO,17,NO,CAR,10,18,True,True,8,NO,0.11199999999999999,0.027000000000000003,False,True
-3.0,TEN,17,TEN,MIA,3,34,True,True,31,TEN,0.084,0.055,False,True
-2.0,PIT,17,PIT,CLE,14,26,True,True,12,PIT,0.13,0.09,False,True
-11.5,KC,18,DEN,KC,28,24,False,False,4,DEN,0.039,0.185,False,False
-5.0,ARI,18,ARI,SEA,38,30,False,True,8,SEA,0.086,0.14300000000000002,True,True
-4.5,NO,18,ATL,NO,30,20,False,False,10,NO,0.127,0.11199999999999999,True,False
-4.0,GB,18,DET,GB,30,37,True,False,7,DET,0.081,0.155,False,False
-3.0,LAC,18,LV,LAC,32,35,True,False,3,LV,0.077,0.11,False,False
-3.5,MIN,18,MIN,CHI,17,31,True,True,14,MIN,0.113,0.079,False,True
-10.5,TB,18,TB,CAR,17,41,True,True,24,TB,0.14300000000000002,0.027000000000000003,False,True
