spread_favorite,team_favorite_id,schedule_week,team_home,team_away,score_away,score_home,home_win,home_favorite,mov,cover,home_qb,away_qb,qb_getting_points,did_they_cover
-3.0,CHI,1,CHI,GB,10,3,False,True,7,GB,0.07,0.152,True,True
-5.5,CLE,1,CLE,TEN,43,13,False,True,30,TEN,0.08900000000000001,0.09300000000000001,True,True
-7.0,DAL,1,DAL,NYG,17,35,True,True,18,DAL,0.10400000000000001,0.079,False,True
-3.5,KC,1,JAX,KC,40,26,False,False,14,KC,0.062,0.20199999999999999,False,True
-7.0,BAL,1,MIA,BAL,59,10,False,False,49,BAL,0.066,0.032,True,False
-3.5,MIN,1,MIN,ATL,12,28,True,True,16,MIN,0.1,0.13,True,False
-5.5,NE,1,NE,PIT,3,33,True,True,30,NE,0.149,0.132,False,True
-2.5,NYJ,1,NYJ,BUF,17,16,False,True,1,BUF,0.027000000000000003,0.012,False,False
-10.0,PHI,1,PHI,WAS,27,32,True,True,5,WAS,0.1,0.049,False,False
-9.0,SEA,1,SEA,CIN,20,21,True,True,1,CIN,0.141,0.086,False,False
-1.0,TB,1,TB,SF,31,17,False,True,14,SF,0.109,0.14300000000000002,True,True
-6.5,NO,1,NO,HOU,28,30,True,True,2,HOU,0.158,0.139,False,False
-3.0,DEN,1,LV,DEN,16,24,True,False,8,LV,0.054000000000000006,0.069,False,False
-6.5,CAR,2,CAR,TB,20,14,False,True,6,TB,0.081,0.109,True,True
-1.0,PHI,2,ATL,PHI,20,24,True,False,4,ATL,0.13,0.1,True,True
-1.0,CIN,2,CIN,SF,41,17,False,True,24,SF,0.086,0.14300000000000002,True,True
-3.0,CHI,2,DEN,CHI,16,14,False,False,2,DEN,0.069,0.07,False,False
-1.0,LAC,2,DET,LAC,10,13,True,False,3,DET,0.07,0.145,False,False
-3.0,GB,2,GB,MIN,16,21,True,True,5,GB,0.152,0.1,False,True
-18.0,NE,2,MIA,NE,43,0,False,False,43,NE,0.066,0.149,False,True
-1.0,BUF,2,NYG,BUF,28,14,False,False,14,BUF,0.079,0.012,True,False
-7.0,KC,2,LV,KC,28,10,False,False,18,KC,0.054000000000000006,0.20199999999999999,False,True
-4.0,PIT,2,PIT,SEA,28,26,False,True,2,SEA,0.132,0.141,True,True
-3.5,TEN,2,TEN,IND,19,17,False,True,2,IND,0.09300000000000001,0.011000000000000001,False,False
